,0
0,True
1,False
2,False
3,False
4,True
5,False
6,False
7,True
8,True
9,False
10,True
11,False
12,False
13,False
14,False
15,False
16,False
17,True
18,True
19,False
20,False
21,False
22,False
23,False
24,True
25,True
26,False
27,False
28,False
29,False
30,False
31,False
32,False
33,False
34,False
35,False
36,True
37,False
38,True
39,False
40,False
41,False
42,False
43,False
44,True
45,False
46,False
47,True
48,True
49,False
50,False
51,False
52,False
53,True
54,False
55,False
56,False
57,False
58,False
59,True
60,False
61,False
62,True
63,True
64,False
65,True
66,False
67,False
68,True
69,False
70,False
71,False
72,True
73,True
74,False
75,False
76,False
77,True
78,False
79,False
80,True
81,False
82,True
83,False
84,False
85,False
86,False
87,True
88,False
89,False
90,False
91,False
92,False
93,False
94,False
95,False
96,False
97,True
98,True
99,True
100,False
101,True
102,False
103,False
104,False
105,True
106,False
107,False
108,False
109,False
110,False
111,False
112,False
113,False
114,False
115,False
116,False
117,True
118,False
119,False
120,True
121,True
122,True
123,False
124,False
125,True
126,False
127,False
128,False
129,False
130,False
131,False
132,True
133,False
134,False
135,False
136,True
137,True
138,True
139,True
140,False
141,False
142,False
143,False
144,False
145,True
146,False
147,False
148,True
149,True
150,True
151,False
152,False
153,True
154,False
155,False
156,True
157,False
158,True
159,False
160,False
161,False
162,False
163,True
164,True
165,False
166,True
167,False
168,False
169,False
170,False
171,True
172,False
173,False
174,False
175,False
176,False
177,False
178,True
179,False
180,False
181,False
182,False
183,True
184,False
185,True
186,True
187,False
188,False
189,False
190,True
191,False
192,False
193,False
194,True
195,False
196,True
197,True
198,True
199,True
200,True
201,False
202,False
203,True
204,True
205,False
206,False
207,False
208,True
209,False
210,False
211,False
212,False
213,False
214,False
215,False
216,True
217,False
218,False
219,False
220,False
221,False
222,True
223,False
224,True
225,False
226,False
227,False
228,False
229,False
230,False
231,True
232,False
233,True
234,False
235,True
236,False
237,False
238,False
239,False
240,True
241,False
242,True
243,False
244,False
245,False
246,False
247,False
248,False
249,False
250,False
251,False
252,False
253,False
254,True
255,False
256,False
257,False
258,False
259,False
260,True
261,False
262,True
263,False
264,False
265,True
266,False
267,False
268,True
269,False
270,True
271,False
272,False
273,False
274,True
275,True
276,False
277,False
278,False
279,False
280,False
281,True
282,False
283,False
284,True
285,False
286,False
287,False
288,False
289,False
290,False
291,False
292,True
293,True
294,False
295,False
296,True
297,False
298,True
299,False
300,False
301,False
302,False
303,True
304,False
305,False
306,False
307,False
308,False
309,True
310,False
311,True
312,True
313,False
314,False
315,False
316,True
317,False
318,False
319,False
320,False
321,False
322,False
323,True
324,False
325,False
326,False
327,True
328,False
329,False
330,True
331,False
332,True
333,False
334,False
335,False
336,True
337,False
338,False
339,False
340,True
341,False
342,False
343,True
344,False
345,True
346,True
347,True
348,True
349,True
350,False
351,False
352,True
353,False
354,True
355,False
356,False
357,False
358,False
359,True
360,False
361,False
362,False
363,False
364,False
365,True
366,False
367,False
368,False
369,False
370,False
371,False
372,False
373,True
374,False
375,False
376,True
377,False
378,True
379,False
380,False
381,False
